ID,标签,物种,性别,年龄,,,,,,,,,,,,,,,,,,,,,
D037,家猫亚成体,家猫,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D038,家猫幼体,家猫,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D039,家猫,家猫,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D040,家狗雄性成体,家狗,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D041,家狗雌性成体,家狗,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D042,家狗成体,家狗,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D043,家狗雄性亚成体,家狗,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D044,家狗雌性亚成体,家狗,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D045,家狗亚成体,家狗,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D046,家狗幼体,家狗,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D047,家狗,家狗,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D048,水牛雄性成体,水牛,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D049,水牛雌性成体,水牛,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D050,水牛成体,水牛,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D051,水牛雄性亚成体,水牛,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D052,水牛雌性亚成体,水牛,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D053,水牛亚成体,水牛,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D054,水牛幼体,水牛,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D055,水牛,水牛,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D056,家猪雄性成体,家猪,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D057,家猪雌性成体,家猪,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D058,家猪成体,家猪,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D059,家猪雄性亚成体,家猪,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D060,家猪雌性亚成体,家猪,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D061,家猪亚成体,家猪,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D062,家猪幼体,家猪,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D063,家猪,家猪,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D064,家牦牛雄性成体,家牦牛,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D065,家牦牛雌性成体,家牦牛,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D066,家牦牛成体,家牦牛,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D067,家牦牛雄性亚成体,家牦牛,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D068,家牦牛雌性亚成体,家牦牛,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D069,家牦牛亚成体,家牦牛,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D070,家牦牛幼体,家牦牛,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D071,家牦牛,家牦牛,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D072,黄牛雄性成体,黄牛,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D073,黄牛雌性成体,黄牛,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D074,黄牛成体,黄牛,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D075,黄牛雄性亚成体,黄牛,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D076,黄牛雌性亚成体,黄牛,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D077,黄牛亚成体,黄牛,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D078,黄牛幼体,黄牛,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D079,黄牛,黄牛,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D080,家马雄性成体,家马,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D081,家马雌性成体,家马,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D082,家马成体,家马,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D083,家马雄性亚成体,家马,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D084,家马雌性亚成体,家马,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D085,家马亚成体,家马,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D086,家马幼体,家马,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D087,家马,家马,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
D088,牦牛雄性成体,家牦牛,雄性,成体,,,,,,,,,,,,,,,,,,,,,,
D089,牦牛雌性成体,家牦牛,雌性,成体,,,,,,,,,,,,,,,,,,,,,,
D090,牦牛成体,家牦牛,无法区分,成体,,,,,,,,,,,,,,,,,,,,,,
D091,牦牛雄性亚成体,家牦牛,雄性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D092,牦牛雌性亚成体,家牦牛,雌性,亚成体,,,,,,,,,,,,,,,,,,,,,,
D093,牦牛亚成体,家牦牛,无法区分,亚成体,,,,,,,,,,,,,,,,,,,,,,
D094,牦牛幼体,家牦牛,无法区分,幼体,,,,,,,,,,,,,,,,,,,,,,
D095,牦牛,家牦牛,无法区分,无法区分,,,,,,,,,,,,,,,,,,,,,,
