ID,标签,物种,性别,年龄,,,,,,,,,,,,,,
89,野马成体,野马,无法区分,成体,,,,,,,,,,,,,,,
90,野马雄性亚成体,野马,雄性,亚成体,,,,,,,,,,,,,,,
91,野马雌性亚成体,野马,雌性,亚成体,,,,,,,,,,,,,,,
92,野马亚成体,野马,无法区分,亚成体,,,,,,,,,,,,,,,
93,野马幼体,野马,无法区分,幼体,,,,,,,,,,,,,,,
94,野马,野马,无法区分,无法区分,,,,,,,,,,,,,,,
95,白腹巨鼠雄性成体,白腹巨鼠,雄性,成体,,,,,,,,,,,,,,,
96,白腹巨鼠,白腹巨鼠,无法区分,无法区分,,,,,,,,,,,,,,,
97,猪獾雄性成体,猪獾,雄性,成体,,,,,,,,,,,,,,,
98,猪獾雌性成体,猪獾,雌性,成体,,,,,,,,,,,,,,,
99,猪獾成体,猪獾,无法区分,成体,,,,,,,,,,,,,,,
100,猪獾亚成体,猪獾,无法区分,亚成体,,,,,,,,,,,,,,,
101,猪獾幼体,猪獾,无法区分,幼体,,,,,,,,,,,,,,,
102,猪獾,猪獾,无法区分,无法区分,,,,,,,,,,,,,,,
103,鼬獾雄性成体,鼬獾,雄性,成体,,,,,,,,,,,,,,,
104,鼬獾雌性成体,鼬獾,雌性,成体,,,,,,,,,,,,,,,
105,鼬獾成体,鼬獾,无法区分,成体,,,,,,,,,,,,,,,
106,鼬獾亚成体,鼬獾,无法区分,亚成体,,,,,,,,,,,,,,,
107,鼬獾幼体,鼬獾,无法区分,幼体,,,,,,,,,,,,,,,
108,鼬獾,鼬獾,无法区分,无法区分,,,,,,,,,,,,,,,
109,花面狸雄性成体,花面狸,雄性,成体,,,,,,,,,,,,,,,
110,花面狸雌性成体,花面狸,雌性,成体,,,,,,,,,,,,,,,
111,花面狸成体,花面狸,无法区分,成体,,,,,,,,,,,,,,,
112,花面狸亚成体,花面狸,无法区分,亚成体,,,,,,,,,,,,,,,
113,花面狸幼体,花面狸,无法区分,幼体,,,,,,,,,,,,,,,
114,花面狸,花面狸,无法区分,无法区分,,,,,,,,,,,,,,,
115,貉雄性成体,貉,雄性,成体,,,,,,,,,,,,,,,
116,貉雌性成体,貉,雌性,成体,,,,,,,,,,,,,,,
117,貉成体,貉,无法区分,成体,,,,,,,,,,,,,,,
118,貉亚成体,貉,无法区分,亚成体,,,,,,,,,,,,,,,
119,貉幼体,貉,无法区分,幼体,,,,,,,,,,,,,,,
120,貉,貉,无法区分,无法区分,,,,,,,,,,,,,,,
121,豪猪雄性成体,豪猪,雄性,成体,,,,,,,,,,,,,,,
122,豪猪雌性成体,豪猪,雌性,成体,,,,,,,,,,,,,,,
123,豪猪成体,豪猪,无法区分,成体,,,,,,,,,,,,,,,
124,豪猪亚成体,豪猪,无法区分,亚成体,,,,,,,,,,,,,,,
125,豪猪幼体,豪猪,无法区分,幼体,,,,,,,,,,,,,,,
126,豪猪,豪猪,无法区分,无法区分,,,,,,,,,,,,,,,
127,帚尾豪猪雄性成体,帚尾豪猪,雄性,无法区分,,,,,,,,,,,,,,,
128,帚尾豪猪雌性成体,帚尾豪猪,雌性,无法区分,,,,,,,,,,,,,,,
129,帚尾豪猪成体,帚尾豪猪,无法区分,成体,,,,,,,,,,,,,,,
130,帚尾豪猪亚成体,帚尾豪猪,无法区分,亚成体,,,,,,,,,,,,,,,
131,帚尾豪猪幼体,帚尾豪猪,无法区分,幼体,,,,,,,,,,,,,,,
132,帚尾豪猪,帚尾豪猪,无法区分,无法区分,,,,,,,,,,,,,,,
133,黄喉貂雄性成体,黄喉貂,雄性,成体,,,,,,,,,,,,,,,
134,黄喉貂雌性成体,黄喉貂,雌性,成体,,,,,,,,,,,,,,,
135,黄喉貂成体,黄喉貂,无法区分,成体,,,,,,,,,,,,,,,
136,黄喉貂亚成体,黄喉貂,无法区分,亚成体,,,,,,,,,,,,,,,
137,黄喉貂幼体,黄喉貂,无法区分,幼体,,,,,,,,,,,,,,,
138,黄喉貂,黄喉貂,无法区分,无法区分,,,,,,,,,,,,,,,
139,豹猫雄性成体,豹猫,雄性,成体,,,,,,,,,,,,,,,
140,豹猫雌性成体,豹猫,雌性,成体,,,,,,,,,,,,,,,
141,豹猫成体,豹猫,无法区分,成体,,,,,,,,,,,,,,,
142,豹猫亚成体,豹猫,无法区分,亚成体,,,,,,,,,,,,,,,
143,豹猫幼体,豹猫,无法区分,幼体,,,,,,,,,,,,,,,
144,豹猫,豹猫,无法区分,无法区分,,,,,,,,,,,,,,,
145,大熊猫雄性成体,大熊猫,雄性,成体,,,,,,,,,,,,,,,
146,大熊猫雌性成体,大熊猫,雌性,成体,,,,,,,,,,,,,,,
147,大熊猫成体,大熊猫,无法区分,成体,,,,,,,,,,,,,,,
148,大熊猫亚成体,大熊猫,无法区分,亚成体,,,,,,,,,,,,,,,
149,大熊猫幼体,大熊猫,无法区分,幼体,,,,,,,,,,,,,,,
150,大熊猫,大熊猫,无法区分,无法区分,,,,,,,,,,,,,,,
151,黑熊雄性成体,黑熊,雄性,成体,,,,,,,,,,,,,,,
152,黑熊雌性成体,黑熊,雌性,成体,,,,,,,,,,,,,,,
153,黑熊成体,黑熊,无法区分,成体,,,,,,,,,,,,,,,
154,黑熊亚成体,黑熊,无法区分,亚成体,,,,,,,,,,,,,,,
155,黑熊幼体,黑熊,无法区分,幼体,,,,,,,,,,,,,,,
156,黑熊,黑熊,无法区分,无法区分,,,,,,,,,,,,,,,
157,岩松鼠雄性成体,岩松鼠,雄性,成体,,,,,,,,,,,,,,,
158,岩松鼠雌性成体,岩松鼠,雌性,成体,,,,,,,,,,,,,,,
159,岩松鼠成体,岩松鼠,无法区分,成体,,,,,,,,,,,,,,,
160,岩松鼠亚成体,岩松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
161,岩松鼠幼体,岩松鼠,无法区分,幼体,,,,,,,,,,,,,,,
162,岩松鼠,岩松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
163,红腿长吻松鼠雄性成体,红腿长吻松鼠,雄性,成体,,,,,,,,,,,,,,,
164,红腿长吻松鼠雌性成体,红腿长吻松鼠,雌性,成体,,,,,,,,,,,,,,,
165,红腿长吻松鼠成体,红腿长吻松鼠,无法区分,成体,,,,,,,,,,,,,,,
166,红腿长吻松鼠亚成体,红腿长吻松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
167,红腿长吻松鼠幼体,红腿长吻松鼠,无法区分,幼体,,,,,,,,,,,,,,,
168,红腿长吻松鼠,红腿长吻松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
169,赤腹松鼠雄性成体,赤腹松鼠,雄性,成体,,,,,,,,,,,,,,,
170,赤腹松鼠雌性成体,赤腹松鼠,雌性,成体,,,,,,,,,,,,,,,
171,赤腹松鼠成体,赤腹松鼠,无法区分,成体,,,,,,,,,,,,,,,
172,赤腹松鼠亚成体,赤腹松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
173,赤腹松鼠幼体,赤腹松鼠,无法区分,幼体,,,,,,,,,,,,,,,
174,赤腹松鼠,赤腹松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
175,珀氏长吻松鼠雄性成体,珀氏长吻松鼠,雄性,成体,,,,,,,,,,,,,,,
176,珀氏长吻松鼠雌性成体,珀氏长吻松鼠,雌性,成体,,,,,,,,,,,,,,,
177,珀氏长吻松鼠成体,珀氏长吻松鼠,无法区分,成体,,,,,,,,,,,,,,,
178,珀氏长吻松鼠亚成体,珀氏长吻松鼠,无法区分,亚成体,,,,,,,,,,,,,,,
179,珀氏长吻松鼠幼体,珀氏长吻松鼠,无法区分,幼体,,,,,,,,,,,,,,,
180,珀氏长吻松鼠,珀氏长吻松鼠,无法区分,无法区分,,,,,,,,,,,,,,,
181,红腹角雉雄性成体,红腹角雉,雄性,成体,,,,,,,,,,,,,,,
182,红腹角雉雌性成体,红腹角雉,雌性,无法区分,,,,,,,,,,,,,,,
183,红腹角雉成体,红腹角雉,无法区分,成体,,,,,,,,,,,,,,,
184,红腹角雉雄性亚成体,红腹角雉,雄性,亚成体,,,,,,,,,,,,,,,
185,红腹角雉雌性亚成体,红腹角雉,雌性,亚成体,,,,,,,,,,,,,,,
186,红腹角雉亚成体,红腹角雉,无法区分,亚成体,,,,,,,,,,,,,,,
187,红腹角雉幼体,红腹角雉,无法区分,幼体,,,,,,,,,,,,,,,
188,红腹角雉,红腹角雉,无法区分,无法区分,,,,,,,,,,,,,,,
189,白鹇雄性成体,白鹇,雄性,成体,,,,,,,,,,,,,,,
190,白鹇雌性成体,白鹇,雌性,无法区分,,,,,,,,,,,,,,,
191,白鹇成体,白鹇,无法区分,成体,,,,,,,,,,,,,,,
192,白鹇雄性亚成体,白鹇,雄性,亚成体,,,,,,,,,,,,,,,
193,白鹇雌性亚成体,白鹇,雌性,亚成体,,,,,,,,,,,,,,,
194,白鹇亚成体,白鹇,无法区分,亚成体,,,,,,,,,,,,,,,
195,白鹇幼体,白鹇,无法区分,幼体,,,,,,,,,,,,,,,
196,白鹇,白鹇,无法区分,无法区分,,,,,,,,,,,,,,,
197,勺鸡雄性成体,勺鸡,雄性,成体,,,,,,,,,,,,,,,
198,勺鸡雌性成体,勺鸡,雌性,成体,,,,,,,,,,,,,,,
199,勺鸡成体,勺鸡,无法区分,成体,,,,,,,,,,,,,,,
200,勺鸡雄性亚成体,勺鸡,雄性,亚成体,,,,,,,,,,,,,,,
201,勺鸡雌性亚成体,勺鸡,雌性,亚成体,,,,,,,,,,,,,,,
202,勺鸡亚成体,勺鸡,无法区分,亚成体,,,,,,,,,,,,,,,
203,勺鸡幼体,勺鸡,无法区分,幼体,,,,,,,,,,,,,,,
204,勺鸡,勺鸡,无法区分,无法区分,,,,,,,,,,,,,,,
205,白马鸡雄性成体,白马鸡,雄性,成体,,,,,,,,,,,,,,,
206,白马鸡雌性成体,白马鸡,雌性,成体,,,,,,,,,,,,,,,
207,白马鸡成体,白马鸡,无法区分,成体,,,,,,,,,,,,,,,
208,白马鸡雄性亚成体,白马鸡,雄性,亚成体,,,,,,,,,,,,,,,
209,白马鸡雌性亚成体,白马鸡,雌性,亚成体,,,,,,,,,,,,,,,
210,白马鸡亚成体,白马鸡,无法区分,亚成体,,,,,,,,,,,,,,,
211,白马鸡幼体,白马鸡,无法区分,幼体,,,,,,,,,,,,,,,
212,白马鸡,白马鸡,无法区分,无法区分,,,,,,,,,,,,,,,
213,血雉雄性成体,血雉,雄性,成体,,,,,,,,,,,,,,,
214,血雉雌性成体,血雉,雌性,成体,,,,,,,,,,,,,,,
215,血雉成体,血雉,无法区分,成体,,,,,,,,,,,,,,,
216,血雉雄性亚成体,血雉,雄性,亚成体,,,,,,,,,,,,,,,
217,血雉雌性亚成体,血雉,雌性,亚成体,,,,,,,,,,,,,,,
218,血雉亚成体,血雉,无法区分,亚成体,,,,,,,,,,,,,,,
219,血雉幼体,血雉,无法区分,幼体,,,,,,,,,,,,,,,
220,血雉,血雉,无法区分,无法区分,,,,,,,,,,,,,,,
221,白冠长尾雉雄性成体,白冠长尾雉,雄性,成体,,,,,,,,,,,,,,,
222,白冠长尾雉雌性成体,白冠长尾雉,雌性,成体,,,,,,,,,,,,,,,
223,白冠长尾雉成体,白冠长尾雉,无法区分,成体,,,,,,,,,,,,,,,
224,白冠长尾雉雄性亚成体,白冠长尾雉,雄性,亚成体,,,,,,,,,,,,,,,
225,白冠长尾雉雌性亚成体,白冠长尾雉,雌性,亚成体,,,,,,,,,,,,,,,
226,白冠长尾雉亚成体,白冠长尾雉,无法区分,亚成体,,,,,,,,,,,,,,,
227,白冠长尾雉幼体,白冠长尾雉,无法区分,幼体,,,,,,,,,,,,,,,
228,白冠长尾雉,白冠长尾雉,无法区分,无法区分,,,,,,,,,,,,,,,
229,川金丝猴雄性成体,川金丝猴,雄性,成体,,,,,,,,,,,,,,,
230,川金丝猴雌性成体,川金丝猴,雌性,成体,,,,,,,,,,,,,,,
231,川金丝猴成体,川金丝猴,无法区分,成体,,,,,,,,,,,,,,,
232,川金丝猴雄性亚成体,川金丝猴,雄性,亚成体,,,,,,,,,,,,,,,
233,川金丝猴雌性亚成体,川金丝猴,雌性,亚成体,,,,,,,,,,,,,,,
234,川金丝猴亚成体,川金丝猴,无法区分,亚成体,,,,,,,,,,,,,,,
235,川金丝猴幼体,川金丝猴,无法区分,幼体,,,,,,,,,,,,,,,
236,川金丝猴,川金丝猴,无法区分,无法区分,,,,,,,,,,,,,,,
237,猕猴雄性成体,猕猴,雄性,成体,,,,,,,,,,,,,,,
238,猕猴雌性成体,猕猴,雌性,成体,,,,,,,,,,,,,,,
239,猕猴成体,猕猴,无法区分,成体,,,,,,,,,,,,,,,
240,猕猴雄性亚成体,猕猴,雄性,亚成体,,,,,,,,,,,,,,,
241,猕猴雌性亚成体,猕猴,雌性,亚成体,,,,,,,,,,,,,,,
242,猕猴亚成体,猕猴,无法区分,亚成体,,,,,,,,,,,,,,,
243,猕猴幼体,猕猴,无法区分,幼体,,,,,,,,,,,,,,,
244,猕猴,猕猴,无法区分,无法区分,,,,,,,,,,,,,,,
245,藏酋猴雄性成体,藏酋猴,雄性,成体,,,,,,,,,,,,,,,
246,藏酋猴雌性成体,藏酋猴,雌性,成体,,,,,,,,,,,,,,,
247,藏酋猴成体,藏酋猴,无法区分,成体,,,,,,,,,,,,,,,
248,藏酋猴雄性亚成体,藏酋猴,雄性,亚成体,,,,,,,,,,,,,,,
249,藏酋猴雌性亚成体,藏酋猴,雌性,亚成体,,,,,,,,,,,,,,,
250,藏酋猴亚成体,藏酋猴,无法区分,亚成体,,,,,,,,,,,,,,,
251,藏酋猴幼体,藏酋猴,无法区分,幼体,,,,,,,,,,,,,,,
252,藏酋猴,藏酋猴,无法区分,无法区分,,,,,,,,,,,,,,,
253,熊猴雄性成体,熊猴,雄性,成体,,,,,,,,,,,,,,,
254,熊猴雌性成体,熊猴,雌性,成体,,,,,,,,,,,,,,,
255,熊猴成体,熊猴,无法区分,成体,,,,,,,,,,,,,,,
256,熊猴雄性亚成体,熊猴,雄性,亚成体,,,,,,,,,,,,,,,
257,熊猴雌性亚成体,熊猴,雌性,亚成体,,,,,,,,,,,,,,,
258,熊猴亚成体,熊猴,无法区分,亚成体,,,,,,,,,,,,,,,
259,熊猴幼体,熊猴,无法区分,幼体,,,,,,,,,,,,,,,
260,熊猴,熊猴,无法区分,无法区分,,,,,,,,,,,,,,,
261,黑叶猴雄性成体,黑叶猴,雄性,成体,,,,,,,,,,,,,,,
262,黑叶猴雌性成体,黑叶猴,雌性,成体,,,,,,,,,,,,,,,
263,黑叶猴成体,黑叶猴,无法区分,成体,,,,,,,,,,,,,,,
264,黑叶猴雄性亚成体,黑叶猴,雄性,亚成体,,,,,,,,,,,,,,,
265,黑叶猴雌性亚成体,黑叶猴,雌性,亚成体,,,,,,,,,,,,,,,
266,黑叶猴亚成体,黑叶猴,无法区分,亚成体,,,,,,,,,,,,,,,
267,黑叶猴幼体,黑叶猴,无法区分,幼体,,,,,,,,,,,,,,,
268,黑叶猴,黑叶猴,无法区分,无法区分,,,,,,,,,,,,,,,
269,白头叶猴雄性成体,白头叶猴,雄性,成体,,,,,,,,,,,,,,,
270,白头叶猴雌性成体,白头叶猴,雌性,成体,,,,,,,,,,,,,,,
271,白头叶猴成体,白头叶猴,无法区分,成体,,,,,,,,,,,,,,,
272,白头叶猴雄性亚成体,白头叶猴,雄性,亚成体,,,,,,,,,,,,,,,
273,白头叶猴雌性亚成体,白头叶猴,雌性,亚成体,,,,,,,,,,,,,,,
274,白头叶猴亚成体,白头叶猴,无法区分,亚成体,,,,,,,,,,,,,,,
275,白头叶猴幼体,白头叶猴,无法区分,幼体,,,,,,,,,,,,,,,
276,白头叶猴,白头叶猴,无法区分,无法区分,,,,,,,,,,,,,,,
277,灰叶猴雄性成体,灰叶猴,雄性,成体,,,,,,,,,,,,,,,
278,灰叶猴雌性成体,灰叶猴,雌性,成体,,,,,,,,,,,,,,,
279,灰叶猴成体,灰叶猴,无法区分,成体,,,,,,,,,,,,,,,
280,灰叶猴雄性亚成体,灰叶猴,雄性,亚成体,,,,,,,,,,,,,,,
281,灰叶猴雌性亚成体,灰叶猴,雌性,亚成体,,,,,,,,,,,,,,,
282,灰叶猴亚成体,灰叶猴,无法区分,亚成体,,,,,,,,,,,,,,,
283,灰叶猴幼体,灰叶猴,无法区分,幼体,,,,,,,,,,,,,,,
284,灰叶猴,灰叶猴,无法区分,无法区分,,,,,,,,,,,,,,,
285,小麂雄性成体,小麂,雄性,成体,,,,,,,,,,,,,,,
286,小麂雌性成体,小麂,雌性,成体,,,,,,,,,,,,,,,
287,小麂成体,小麂,无法区分,成体,,,,,,,,,,,,,,,
288,小麂雄性亚成体,小麂,雄性,亚成体,,,,,,,,,,,,,,,
289,小麂雌性亚成体,小麂,雌性,亚成体,,,,,,,,,,,,,,,
290,小麂亚成体,小麂,无法区分,亚成体,,,,,,,,,,,,,,,
291,小麂幼体,小麂,无法区分,幼体,,,,,,,,,,,,,,,
292,小麂,小麂,无法区分,无法区分,,,,,,,,,,,,,,,
293,赤麂雄性成体,赤麂,雄性,成体,,,,,,,,,,,,,,,
294,赤麂雌性成体,赤麂,雌性,成体,,,,,,,,,,,,,,,
295,赤麂成体,赤麂,无法区分,成体,,,,,,,,,,,,,,,
296,赤麂雄性亚成体,赤麂,雄性,亚成体,,,,,,,,,,,,,,,
297,赤麂雌性亚成体,赤麂,雌性,亚成体,,,,,,,,,,,,,,,
298,赤麂亚成体,赤麂,无法区分,亚成体,,,,,,,,,,,,,,,
299,赤麂幼体,赤麂,无法区分,幼体,,,,,,,,,,,,,,,
300,赤麂,赤麂,无法区分,无法区分,,,,,,,,,,,,,,,
301,狍雄性成体,狍,雄性,成体,,,,,,,,,,,,,,,
302,狍雌性成体,狍,雌性,成体,,,,,,,,,,,,,,,
303,狍成体,狍,无法区分,成体,,,,,,,,,,,,,,,
304,狍雄性亚成体,狍,雄性,亚成体,,,,,,,,,,,,,,,
305,狍雌性亚成体,狍,雌性,亚成体,,,,,,,,,,,,,,,
306,狍亚成体,狍,无法区分,亚成体,,,,,,,,,,,,,,,
307,狍幼体,狍,无法区分,幼体,,,,,,,,,,,,,,,
308,狍,狍,无法区分,无法区分,,,,,,,,,,,,,,,
309,林麝雄性成体,林麝,雄性,成体,,,,,,,,,,,,,,,
310,林麝雌性成体,林麝,雌性,成体,,,,,,,,,,,,,,,
311,林麝成体,林麝,无法区分,成体,,,,,,,,,,,,,,,
312,林麝雄性亚成体,林麝,雄性,亚成体,,,,,,,,,,,,,,,
313,林麝雌性亚成体,林麝,雌性,亚成体,,,,,,,,,,,,,,,
314,林麝亚成体,林麝,无法区分,亚成体,,,,,,,,,,,,,,,
315,林麝幼体,林麝,无法区分,幼体,,,,,,,,,,,,,,,
316,林麝,林麝,无法区分,无法区分,,,,,,,,,,,,,,,
317,原麝雄性成体,原麝,雄性,成体,,,,,,,,,,,,,,,
318,原麝雌性成体,原麝,雌性,成体,,,,,,,,,,,,,,,
319,原麝成体,原麝,无法区分,成体,,,,,,,,,,,,,,,
320,原麝雄性亚成体,原麝,雄性,亚成体,,,,,,,,,,,,,,,
321,原麝雌性亚成体,原麝,雌性,亚成体,,,,,,,,,,,,,,,
322,原麝亚成体,原麝,无法区分,亚成体,,,,,,,,,,,,,,,
323,原麝幼体,原麝,无法区分,幼体,,,,,,,,,,,,,,,
324,原麝,原麝,无法区分,无法区分,,,,,,,,,,,,,,,
325,松鸦雄性成体,松鸦,雄性,成体,,,,,,,,,,,,,,,
326,松鸦雌性成体,松鸦,雌性,成体,,,,,,,,,,,,,,,
327,松鸦成体,松鸦,无法区分,成体,,,,,,,,,,,,,,,
328,松鸦雄性亚成体,松鸦,雄性,亚成体,,,,,,,,,,,,,,,
329,松鸦雌性亚成体,松鸦,雌性,亚成体,,,,,,,,,,,,,,,
330,松鸦亚成体,松鸦,无法区分,亚成体,,,,,,,,,,,,,,,
331,松鸦幼体,松鸦,无法区分,幼体,,,,,,,,,,,,,,,
332,松鸦,松鸦,无法区分,无法区分,,,,,,,,,,,,,,,
